"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"65-69 years"	"65-69"	"2007"	"2007"	"Female"	"F"	74499	5824805	1279.0
	"65-69 years"	"65-69"	"2007"	"2007"	"Male"	"M"	100492	5145430	1953.0
"Total"	"65-69 years"	"65-69"	"2007"	"2007"			174991	10970235	1595.1
	"65-69 years"	"65-69"	"2008"	"2008"	"Female"	"F"	78047	6147908	1269.5
	"65-69 years"	"65-69"	"2008"	"2008"	"Male"	"M"	105403	5446439	1935.3
"Total"	"65-69 years"	"65-69"	"2008"	"2008"			183450	11594347	1582.2
	"65-69 years"	"65-69"	"2009"	"2009"	"Female"	"F"	78573	6407878	1226.2
	"65-69 years"	"65-69"	"2009"	"2009"	"Male"	"M"	107198	5684499	1885.8
"Total"	"65-69 years"	"65-69"	"2009"	"2009"			185771	12092377	1536.3
	"65-69 years"	"65-69"	"2010"	"2010"	"Female"	"F"	80443	6582716	1222.0
	"65-69 years"	"65-69"	"2010"	"2010"	"Male"	"M"	109519	5852547	1871.3
"Total"	"65-69 years"	"65-69"	"2010"	"2010"			189962	12435263	1527.6
	"65-69 years"	"65-69"	"2011"	"2011"	"Female"	"F"	82102	6801858	1207.1
	"65-69 years"	"65-69"	"2011"	"2011"	"Male"	"M"	111373	6071930	1834.2
"Total"	"65-69 years"	"65-69"	"2011"	"2011"			193475	12873788	1502.9
	"65-69 years"	"65-69"	"2012"	"2012"	"Female"	"F"	86575	7370497	1174.6
	"65-69 years"	"65-69"	"2012"	"2012"	"Male"	"M"	118915	6606856	1799.9
"Total"	"65-69 years"	"65-69"	"2012"	"2012"			205490	13977353	1470.2
	"65-69 years"	"65-69"	"2013"	"2013"	"Female"	"F"	90185	7695527	1171.9
	"65-69 years"	"65-69"	"2013"	"2013"	"Male"	"M"	124324	6913190	1798.4
"Total"	"65-69 years"	"65-69"	"2013"	"2013"			214509	14608717	1468.4
	"65-69 years"	"65-69"	"2014"	"2014"	"Female"	"F"	93032	8076160	1151.9
	"65-69 years"	"65-69"	"2014"	"2014"	"Male"	"M"	129802	7249106	1790.6
"Total"	"65-69 years"	"65-69"	"2014"	"2014"			222834	15325266	1454.0
	"65-69 years"	"65-69"	"2015"	"2015"	"Female"	"F"	97852	8471278	1155.1
	"65-69 years"	"65-69"	"2015"	"2015"	"Male"	"M"	137630	7596190	1811.8
"Total"	"65-69 years"	"65-69"	"2015"	"2015"			235482	16067468	1465.6
	"65-69 years"	"65-69"	"2016"	"2016"	"Female"	"F"	102266	8883164	1151.2
	"65-69 years"	"65-69"	"2016"	"2016"	"Male"	"M"	144389	7936919	1819.2
"Total"	"65-69 years"	"65-69"	"2016"	"2016"			246655	16820083	1466.4
	"65-69 years"	"65-69"	"2017"	"2017"	"Female"	"F"	102829	8906513	1154.5
	"65-69 years"	"65-69"	"2017"	"2017"	"Male"	"M"	145258	7929868	1831.8
"Total"	"65-69 years"	"65-69"	"2017"	"2017"			248087	16836381	1473.5
	"65-69 years"	"65-69"	"2018"	"2018"	"Female"	"F"	102698	9052080	1134.5
	"65-69 years"	"65-69"	"2018"	"2018"	"Male"	"M"	148548	8034813	1848.8
"Total"	"65-69 years"	"65-69"	"2018"	"2018"			251246	17086893	1470.4
	"65-69 years"	"65-69"	"2019"	"2019"	"Female"	"F"	103474	9255228	1118.0
	"65-69 years"	"65-69"	"2019"	"2019"	"Male"	"M"	150938	8199773	1840.8
"Total"	"65-69 years"	"65-69"	"2019"	"2019"			254412	17455001	1457.5
	"65-69 years"	"65-69"	"2020 "	"2020"	"Female"	"F"	123652	9483316	1303.9
	"65-69 years"	"65-69"	"2020 "	"2020"	"Male"	"M"	182736	8390351	2177.9
"Total"	"65-69 years"	"65-69"	"2020 "	"2020"			306388	17873667	1714.2
"Total"	"65-69 years"	"65-69"					4525929	285028649	1587.9
	"70-74 years"	"70-74"	"1999"	"1999"	"Female"	"F"	118514	4983436	2378.2
	"70-74 years"	"70-74"	"1999"	"1999"	"Male"	"M"	147391	3893975	3785.1
"Total"	"70-74 years"	"70-74"	"1999"	"1999"			265905	8877411	2995.3
	"70-74 years"	"70-74"	"2000"	"2000"	"Female"	"F"	115997	4954529	2341.2
	"70-74 years"	"70-74"	"2000"	"2000"	"Male"	"M"	143473	3902912	3676.1
"Total"	"70-74 years"	"70-74"	"2000"	"2000"			259470	8857441	2929.4
	"70-74 years"	"70-74"	"2001"	"2001"	"Female"	"F"	113257	4908508	2307.4
	"70-74 years"	"70-74"	"2001"	"2001"	"Male"	"M"	139471	3913438	3563.9
"Total"	"70-74 years"	"70-74"	"2001"	"2001"			252728	8821946	2864.8
	"70-74 years"	"70-74"	"2002"	"2002"	"Female"	"F"	110968	4852844	2286.7
	"70-74 years"	"70-74"	"2002"	"2002"	"Male"	"M"	136431	3897210	3500.7
"Total"	"70-74 years"	"70-74"	"2002"	"2002"			247399	8750054	2827.4
	"70-74 years"	"70-74"	"2003"	"2003"	"Female"	"F"	107574	4794496	2243.7
	"70-74 years"	"70-74"	"2003"	"2003"	"Male"	"M"	131106	3875623	3382.8
"Total"	"70-74 years"	"70-74"	"2003"	"2003"			238680	8670119	2752.9
	"70-74 years"	"70-74"	"2004"	"2004"	"Female"	"F"	103246	4739945	2178.2
	"70-74 years"	"70-74"	"2004"	"2004"	"Male"	"M"	124436	3854159	3228.6
"Total"	"70-74 years"	"70-74"	"2004"	"2004"			227682	8594104	2649.3
	"70-74 years"	"70-74"	"2005"	"2005"	"Female"	"F"	101724	4729069	2151.0
	"70-74 years"	"70-74"	"2005"	"2005"	"Male"	"M"	124395	3874001	3211.0
"Total"	"70-74 years"	"70-74"	"2005"	"2005"			226119	8603070	2628.4
	"70-74 years"	"70-74"	"2006"	"2006"	"Female"	"F"	98766	4741436	2083.0
	"70-74 years"	"70-74"	"2006"	"2006"	"Male"	"M"	119444	3908390	3056.1
"Total"	"70-74 years"	"70-74"	"2006"	"2006"			218210	8649826	2522.7
	"70-74 years"	"70-74"	"2007"	"2007"	"Female"	"F"	96395	4770997	2020.4
	"70-74 years"	"70-74"	"2007"	"2007"	"Male"	"M"	117852	3957495	2977.9
"Total"	"70-74 years"	"70-74"	"2007"	"2007"			214247	8728492	2454.6
	"70-74 years"	"70-74"	"2008"	"2008"	"Female"	"F"	98132	4856336	2020.7
	"70-74 years"	"70-74"	"2008"	"2008"	"Male"	"M"	119997	4054996	2959.2
"Total"	"70-74 years"	"70-74"	"2008"	"2008"			218129	8911332	2447.8
	"70-74 years"	"70-74"	"2009"	"2009"	"Female"	"F"	96665	4967279	1946.0
	"70-74 years"	"70-74"	"2009"	"2009"	"Male"	"M"	118596	4173443	2841.7
"Total"	"70-74 years"	"70-74"	"2009"	"2009"			215261	9140722	2355.0
	"70-74 years"	"70-74"	"2010"	"2010"	"Female"	"F"	97004	5034194	1926.9
	"70-74 years"	"70-74"	"2010"	"2010"	"Male"	"M"	120185	4243972	2831.9
"Total"	"70-74 years"	"70-74"	"2010"	"2010"			217189	9278166	2340.9
	"70-74 years"	"70-74"	"2011"	"2011"	"Female"	"F"	98674	5203567	1896.3
	"70-74 years"	"70-74"	"2011"	"2011"	"Male"	"M"	122903	4404383	2790.5
"Total"	"70-74 years"	"70-74"	"2011"	"2011"			221577	9607950	2306.2
	"70-74 years"	"70-74"	"2012"	"2012"	"Female"	"F"	100836	5412033	1863.2
	"70-74 years"	"70-74"	"2012"	"2012"	"Male"	"M"	126020	4596006	2741.9
"Total"	"70-74 years"	"70-74"	"2012"	"2012"			226856	10008039	2266.7
	"70-74 years"	"70-74"	"2013"	"2013"	"Female"	"F"	106346	5723597	1858.0
	"70-74 years"	"70-74"	"2013"	"2013"	"Male"	"M"	133574	4884452	2734.7
"Total"	"70-74 years"	"70-74"	"2013"	"2013"			239920	10608049	2261.7
	"70-74 years"	"70-74"	"2014"	"2014"	"Female"	"F"	109861	5973085	1839.3
	"70-74 years"	"70-74"	"2014"	"2014"	"Male"	"M"	138846	5099939	2722.5
"Total"	"70-74 years"	"70-74"	"2014"	"2014"			248707	11073024	2246.1
	"70-74 years"	"70-74"	"2015"	"2015"	"Female"	"F"	114817	6186891	1855.8
	"70-74 years"	"70-74"	"2015"	"2015"	"Male"	"M"	144717	5296158	2732.5
"Total"	"70-74 years"	"70-74"	"2015"	"2015"			259534	11483049	2260.1
	"70-74 years"	"70-74"	"2016"	"2016"	"Female"	"F"	117072	6356057	1841.9
	"70-74 years"	"70-74"	"2016"	"2016"	"Male"	"M"	148353	5454190	2720.0
"Total"	"70-74 years"	"70-74"	"2016"	"2016"			265425	11810247	2247.4
	"70-74 years"	"70-74"	"2017"	"2017"	"Female"	"F"	124850	6899793	1809.5
	"70-74 years"	"70-74"	"2017"	"2017"	"Male"	"M"	158673	5947272	2668.0
"Total"	"70-74 years"	"70-74"	"2017"	"2017"			283523	12847065	2206.9
	"70-74 years"	"70-74"	"2018"	"2018"	"Female"	"F"	128169	7194151	1781.6
	"70-74 years"	"70-74"	"2018"	"2018"	"Male"	"M"	164363	6211272	2646.2
"Total"	"70-74 years"	"70-74"	"2018"	"2018"			292532	13405423	2182.2
	"70-74 years"	"70-74"	"2019"	"2019"	"Female"	"F"	131838	7528626	1751.2
	"70-74 years"	"70-74"	"2019"	"2019"	"Male"	"M"	169309	6499806	2604.8
"Total"	"70-74 years"	"70-74"	"2019"	"2019"			301147	14028432	2146.7
	"70-74 years"	"70-74"	"2020 "	"2020"	"Female"	"F"	158856	7882542	2015.3
	"70-74 years"	"70-74"	"2020 "	"2020"	"Male"	"M"	209263	6793189	3080.5
"Total"	"70-74 years"	"70-74"	"2020 "	"2020"			368119	14675731	2508.4
"Total"	"70-74 years"	"70-74"					5508359	225429692	2443.5
	"75-79 years"	"75-79"	"1999"	"1999"	"Female"	"F"	163496	4331221	3774.8
	"75-79 years"	"75-79"	"1999"	"1999"	"Male"	"M"	174853	3011385	5806.4
"Total"	"75-79 years"	"75-79"	"1999"	"1999"			338349	7342606	4608.0
	"75-79 years"	"75-79"	"2000"	"2000"	"Female"	"F"	164373	4371357	3760.2
	"75-79 years"	"75-79"	"2000"	"2000"	"Male"	"M"	173327	3044456	5693.2
"Total"	"75-79 years"	"75-79"	"2000"	"2000"			337700	7415813	4553.8
	"75-79 years"	"75-79"	"2001"	"2001"	"Female"	"F"	162366	4378159	3708.5
	"75-79 years"	"75-79"	"2001"	"2001"	"Male"	"M"	171311	3077254	5567.0
"Total"	"75-79 years"	"75-79"	"2001"	"2001"			333677	7455413	4475.6
	"75-79 years"	"75-79"	"2002"	"2002"	"Female"	"F"	160515	4368692	3674.2
	"75-79 years"	"75-79"	"2002"	"2002"	"Male"	"M"	169625	3101769	5468.7
"Total"	"75-79 years"	"75-79"	"2002"	"2002"			330140	7470461	4419.3
	"75-79 years"	"75-79"	"2003"	"2003"	"Female"	"F"	157831	4365982	3615.0
	"75-79 years"	"75-79"	"2003"	"2003"	"Male"	"M"	167354	3131860	5343.6
"Total"	"75-79 years"	"75-79"	"2003"	"2003"			325185	7497842	4337.0
	"75-79 years"	"75-79"	"2004"	"2004"	"Female"	"F"	150438	4321319	3481.3
	"75-79 years"	"75-79"	"2004"	"2004"	"Male"	"M"	160308	3140080	5105.2
"Total"	"75-79 years"	"75-79"	"2004"	"2004"			310746	7461399	4164.7
	"75-79 years"	"75-79"	"2005"	"2005"	"Female"	"F"	148774	4299256	3460.5
	"75-79 years"	"75-79"	"2005"	"2005"	"Male"	"M"	159114	3164353	5028.3
"Total"	"75-79 years"	"75-79"	"2005"	"2005"			307888	7463609	4125.2
	"75-79 years"	"75-79"	"2006"	"2006"	"Female"	"F"	143483	4269136	3360.9
	"75-79 years"	"75-79"	"2006"	"2006"	"Male"	"M"	154227	3177898	4853.1
"Total"	"75-79 years"	"75-79"	"2006"	"2006"			297710	7447034	3997.7
	"75-79 years"	"75-79"	"2007"	"2007"	"Female"	"F"	139360	4225224	3298.3
	"75-79 years"	"75-79"	"2007"	"2007"	"Male"	"M"	149669	3175139	4713.8
"Total"	"75-79 years"	"75-79"	"2007"	"2007"			289029	7400363	3905.6
	"75-79 years"	"75-79"	"2008"	"2008"	"Female"	"F"	138166	4178497	3306.6
	"75-79 years"	"75-79"	"2008"	"2008"	"Male"	"M"	149204	3167246	4710.8
"Total"	"75-79 years"	"75-79"	"2008"	"2008"			287370	7345743	3912.1
	"75-79 years"	"75-79"	"2009"	"2009"	"Female"	"F"	131754	4135780	3185.7
	"75-79 years"	"75-79"	"2009"	"2009"	"Male"	"M"	143233	3159284	4533.7
"Total"	"75-79 years"	"75-79"	"2009"	"2009"			274987	7295064	3769.5
	"75-79 years"	"75-79"	"2010"	"2010"	"Female"	"F"	130342	4135407	3151.9
	"75-79 years"	"75-79"	"2010"	"2010"	"Male"	"M"	143006	3182388	4493.7
"Total"	"75-79 years"	"75-79"	"2010"	"2010"			273348	7317795	3735.4
	"75-79 years"	"75-79"	"2011"	"2011"	"Female"	"F"	129905	4155949	3125.8
	"75-79 years"	"75-79"	"2011"	"2011"	"Male"	"M"	142371	3232738	4404.0
"Total"	"75-79 years"	"75-79"	"2011"	"2011"			272276	7388687	3685.0
	"75-79 years"	"75-79"	"2012"	"2012"	"Female"	"F"	129512	4198131	3085.0
	"75-79 years"	"75-79"	"2012"	"2012"	"Male"	"M"	142424	3291452	4327.1
"Total"	"75-79 years"	"75-79"	"2012"	"2012"			271936	7489583	3630.9
	"75-79 years"	"75-79"	"2013"	"2013"	"Female"	"F"	131148	4287534	3058.8
	"75-79 years"	"75-79"	"2013"	"2013"	"Male"	"M"	146166	3390347	4311.2
"Total"	"75-79 years"	"75-79"	"2013"	"2013"			277314	7677881	3611.9
	"75-79 years"	"75-79"	"2014"	"2014"	"Female"	"F"	132813	4410758	3011.1
	"75-79 years"	"75-79"	"2014"	"2014"	"Male"	"M"	149259	3511566	4250.5
"Total"	"75-79 years"	"75-79"	"2014"	"2014"			282072	7922324	3560.5
	"75-79 years"	"75-79"	"2015"	"2015"	"Female"	"F"	136686	4512927	3028.8
	"75-79 years"	"75-79"	"2015"	"2015"	"Male"	"M"	153719	3610906	4257.1
"Total"	"75-79 years"	"75-79"	"2015"	"2015"			290405	8123833	3574.7
	"75-79 years"	"75-79"	"2016"	"2016"	"Female"	"F"	138044	4644276	2972.3
	"75-79 years"	"75-79"	"2016"	"2016"	"Male"	"M"	156851	3723619	4212.3
"Total"	"75-79 years"	"75-79"	"2016"	"2016"			294895	8367895	3524.1
	"75-79 years"	"75-79"	"2017"	"2017"	"Female"	"F"	143993	4842445	2973.6
	"75-79 years"	"75-79"	"2017"	"2017"	"Male"	"M"	163505	3898816	4193.7
"Total"	"75-79 years"	"75-79"	"2017"	"2017"			307498	8741261	3517.8
	"75-79 years"	"75-79"	"2018"	"2018"	"Female"	"F"	149773	5122392	2923.9
	"75-79 years"	"75-79"	"2018"	"2018"	"Male"	"M"	171972	4144674	4149.2
"Total"	"75-79 years"	"75-79"	"2018"	"2018"			321745	9267066	3471.9
	"75-79 years"	"75-79"	"2019"	"2019"	"Female"	"F"	152997	5334166	2868.2
	"75-79 years"	"75-79"	"2019"	"2019"	"Male"	"M"	176496	4318499	4087.0
"Total"	"75-79 years"	"75-79"	"2019"	"2019"			329493	9652665	3413.5
	"75-79 years"	"75-79"	"2020 "	"2020"	"Female"	"F"	182440	5513149	3309.2
	"75-79 years"	"75-79"	"2020 "	"2020"	"Male"	"M"	215751	4473684	4822.7
"Total"	"75-79 years"	"75-79"	"2020 "	"2020"			398191	9986833	3987.2
"Total"	"75-79 years"	"75-79"					6751954	173531170	3890.9
	"80-84 years"	"80-84"	"1999"	"1999"	"Female"	"F"	194124	3079977	6302.8
	"80-84 years"	"80-84"	"1999"	"1999"	"Male"	"M"	166117	1802331	9216.8
"Total"	"80-84 years"	"80-84"	"1999"	"1999"			360241	4882308	7378.5
	"80-84 years"	"80-84"	"2000"	"2000"	"Female"	"F"	195853	3110470	6296.6
	"80-84 years"	"80-84"	"2000"	"2000"	"Male"	"M"	166892	1834897	9095.4
"Total"	"80-84 years"	"80-84"	"2000"	"2000"			362745	4945367	7335.0
	"80-84 years"	"80-84"	"2001"	"2001"	"Female"	"F"	198821	3211574	6190.8
	"80-84 years"	"80-84"	"2001"	"2001"	"Male"	"M"	169431	1926631	8794.2
"Total"	"80-84 years"	"80-84"	"2001"	"2001"			368252	5138205	7166.9
	"80-84 years"	"80-84"	"2002"	"2002"	"Female"	"F"	203635	3295412	6179.3
	"80-84 years"	"80-84"	"2002"	"2002"	"Male"	"M"	173879	1998991	8698.3
"Total"	"80-84 years"	"80-84"	"2002"	"2002"			377514	5294403	7130.4
	"80-84 years"	"80-84"	"2003"	"2003"	"Female"	"F"	202861	3347175	6060.7
	"80-84 years"	"80-84"	"2003"	"2003"	"Male"	"M"	174978	2051421	8529.6
"Total"	"80-84 years"	"80-84"	"2003"	"2003"			377839	5398596	6998.8
	"80-84 years"	"80-84"	"2004"	"2004"	"Female"	"F"	200123	3417423	5856.0
	"80-84 years"	"80-84"	"2004"	"2004"	"Male"	"M"	173361	2111081	8212.0
"Total"	"80-84 years"	"80-84"	"2004"	"2004"			373484	5528504	6755.6
	"80-84 years"	"80-84"	"2005"	"2005"	"Female"	"F"	202656	3454579	5866.3
	"80-84 years"	"80-84"	"2005"	"2005"	"Male"	"M"	176121	2156614	8166.6
"Total"	"80-84 years"	"80-84"	"2005"	"2005"			378777	5611193	6750.4
	"80-84 years"	"80-84"	"2006"	"2006"	"Female"	"F"	196540	3463549	5674.5
	"80-84 years"	"80-84"	"2006"	"2006"	"Male"	"M"	173088	2184568	7923.2
"Total"	"80-84 years"	"80-84"	"2006"	"2006"			369628	5648117	6544.3
	"80-84 years"	"80-84"	"2007"	"2007"	"Female"	"F"	192519	3469267	5549.3
	"80-84 years"	"80-84"	"2007"	"2007"	"Male"	"M"	171134	2217809	7716.4
"Total"	"80-84 years"	"80-84"	"2007"	"2007"			363653	5687076	6394.4
	"80-84 years"	"80-84"	"2008"	"2008"	"Female"	"F"	193498	3477946	5563.6
	"80-84 years"	"80-84"	"2008"	"2008"	"Male"	"M"	172692	2252413	7667.0
"Total"	"80-84 years"	"80-84"	"2008"	"2008"			366190	5730359	6390.4
	"80-84 years"	"80-84"	"2009"	"2009"	"Female"	"F"	184941	3454860	5353.1
	"80-84 years"	"80-84"	"2009"	"2009"	"Male"	"M"	167799	2272851	7382.8
"Total"	"80-84 years"	"80-84"	"2009"	"2009"			352740	5727711	6158.5
	"80-84 years"	"80-84"	"2010"	"2010"	"Female"	"F"	183479	3448953	5319.8
	"80-84 years"	"80-84"	"2010"	"2010"	"Male"	"M"	168824	2294374	7358.2
"Total"	"80-84 years"	"80-84"	"2010"	"2010"			352303	5743327	6134.1
	"80-84 years"	"80-84"	"2011"	"2011"	"Female"	"F"	183627	3446248	5328.3
	"80-84 years"	"80-84"	"2011"	"2011"	"Male"	"M"	170322	2340295	7277.8
"Total"	"80-84 years"	"80-84"	"2011"	"2011"			353949	5786543	6116.8
	"80-84 years"	"80-84"	"2012"	"2012"	"Female"	"F"	180235	3426353	5260.3
	"80-84 years"	"80-84"	"2012"	"2012"	"Male"	"M"	168257	2356698	7139.5
"Total"	"80-84 years"	"80-84"	"2012"	"2012"			348492	5783051	6026.1
	"80-84 years"	"80-84"	"2013"	"2013"	"Female"	"F"	178525	3398468	5253.1
	"80-84 years"	"80-84"	"2013"	"2013"	"Male"	"M"	169174	2370170	7137.6
"Total"	"80-84 years"	"80-84"	"2013"	"2013"			347699	5768638	6027.4
	"80-84 years"	"80-84"	"2014"	"2014"	"Female"	"F"	175261	3378554	5187.5
	"80-84 years"	"80-84"	"2014"	"2014"	"Male"	"M"	167171	2381812	7018.6
"Total"	"80-84 years"	"80-84"	"2014"	"2014"			342432	5760366	5944.6
	"80-84 years"	"80-84"	"2015"	"2015"	"Female"	"F"	177034	3386676	5227.4
	"80-84 years"	"80-84"	"2015"	"2015"	"Male"	"M"	170127	2412665	7051.4
"Total"	"80-84 years"	"80-84"	"2015"	"2015"			347161	5799341	5986.2
	"80-84 years"	"80-84"	"2016"	"2016"	"Female"	"F"	174053	3412384	5100.6
	"80-84 years"	"80-84"	"2016"	"2016"	"Male"	"M"	167968	2453255	6846.7
"Total"	"80-84 years"	"80-84"	"2016"	"2016"			342021	5865639	5830.9
	"80-84 years"	"80-84"	"2017"	"2017"	"Female"	"F"	177095	3456231	5123.9
	"80-84 years"	"80-84"	"2017"	"2017"	"Male"	"M"	173166	2509059	6901.6
"Total"	"80-84 years"	"80-84"	"2017"	"2017"			350261	5965290	5871.7
	"80-84 years"	"80-84"	"2018"	"2018"	"Female"	"F"	178244	3536942	5039.5
	"80-84 years"	"80-84"	"2018"	"2018"	"Male"	"M"	175216	2590366	6764.1
"Total"	"80-84 years"	"80-84"	"2018"	"2018"			353460	6127308	5768.6
	"80-84 years"	"80-84"	"2019"	"2019"	"Female"	"F"	179930	3637483	4946.6
	"80-84 years"	"80-84"	"2019"	"2019"	"Male"	"M"	178604	2679724	6665.0
"Total"	"80-84 years"	"80-84"	"2019"	"2019"			358534	6317207	5675.5
	"80-84 years"	"80-84"	"2020 "	"2020"	"Female"	"F"	210786	3715123	5673.7
	"80-84 years"	"80-84"	"2020 "	"2020"	"Male"	"M"	213107	2749591	7750.5
"Total"	"80-84 years"	"80-84"	"2020 "	"2020"			423893	6464714	6557.0
"Total"	"80-84 years"	"80-84"					7971268	124973263	6378.4
	"85-89 years"	"85-89"	"1999"	"1999"	"Female"	"F"	204372	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"1999"	"1999"	"Male"	"M"	126531	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"1999"	"1999"			330903	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2000"	"2000"	"Female"	"F"	206936	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2000"	"2000"	"Male"	"M"	128877	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2000"	"2000"			335813	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2001"	"2001"	"Female"	"F"	209370	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2001"	"2001"	"Male"	"M"	130405	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2001"	"2001"			339775	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2002"	"2002"	"Female"	"F"	210748	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2002"	"2002"	"Male"	"M"	134637	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2002"	"2002"			345385	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2003"	"2003"	"Female"	"F"	211670	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2003"	"2003"	"Male"	"M"	135177	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2003"	"2003"			346847	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2004"	"2004"	"Female"	"F"	204473	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2004"	"2004"	"Male"	"M"	133667	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2004"	"2004"			338140	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2005"	"2005"	"Female"	"F"	211586	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2005"	"2005"	"Male"	"M"	139812	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2005"	"2005"			351398	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2006"	"2006"	"Female"	"F"	210303	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2006"	"2006"	"Male"	"M"	141809	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2006"	"2006"			352112	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2007"	"2007"	"Female"	"F"	213110	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2007"	"2007"	"Male"	"M"	146114	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2007"	"2007"			359224	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2008"	"2008"	"Female"	"F"	220206	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2008"	"2008"	"Male"	"M"	152346	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2008"	"2008"			372552	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2009"	"2009"	"Female"	"F"	216621	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2009"	"2009"	"Male"	"M"	152511	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2009"	"2009"			369132	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2010"	"2010"	"Female"	"F"	221737	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2010"	"2010"	"Male"	"M"	157700	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2010"	"2010"			379437	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2011"	"2011"	"Female"	"F"	224047	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2011"	"2011"	"Male"	"M"	159865	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2011"	"2011"			383912	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2012"	"2012"	"Female"	"F"	222936	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2012"	"2012"	"Male"	"M"	161326	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2012"	"2012"			384262	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2013"	"2013"	"Female"	"F"	223972	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2013"	"2013"	"Male"	"M"	165286	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2013"	"2013"			389258	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2014"	"2014"	"Female"	"F"	216930	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2014"	"2014"	"Male"	"M"	164609	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2014"	"2014"			381539	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2015"	"2015"	"Female"	"F"	221815	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2015"	"2015"	"Male"	"M"	168932	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2015"	"2015"			390747	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2016"	"2016"	"Female"	"F"	216416	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2016"	"2016"	"Male"	"M"	168063	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2016"	"2016"			384479	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2017"	"2017"	"Female"	"F"	216170	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2017"	"2017"	"Male"	"M"	171951	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2017"	"2017"			388121	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2018"	"2018"	"Female"	"F"	214117	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2018"	"2018"	"Male"	"M"	170999	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2018"	"2018"			385116	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2019"	"2019"	"Female"	"F"	209036	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2019"	"2019"	"Male"	"M"	169880	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"2019"	"2019"			378916	Not Applicable	Not Applicable
