"Notes"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"2013"	"2013"	"35-39 years"	"35-39"	1698	9818501	17.3
	"Female"	"F"	"2013"	"2013"	"40-44 years"	"40-44"	2125	10488928	20.3
	"Female"	"F"	"2013"	"2013"	"45-49 years"	"45-49"	2559	10710188	23.9
	"Female"	"F"	"2013"	"2013"	"50-54 years"	"50-54"	2930	11488260	25.5
	"Female"	"F"	"2013"	"2013"	"55-59 years"	"55-59"	2247	10912048	20.6
	"Female"	"F"	"2013"	"2013"	"60-64 years "	"60-64"	1165	9447628	12.3
	"Female"	"F"	"2013"	"2013"	"65-69 years"	"65-69"	577	7695527	7.5
	"Female"	"F"	"2013"	"2013"	"70-74 years"	"70-74"	274	5723597	4.8
	"Female"	"F"	"2013"	"2013"	"75-79 years"	"75-79"	165	4287534	3.8
	"Female"	"F"	"2013"	"2013"	"80-84 years"	"80-84"	155	3398468	4.6
	"Female"	"F"	"2013"	"2013"	"85-89 years"	"85-89"	111	Not Applicable	Not Applicable
	"Female"	"F"	"2013"	"2013"	"90-94 years"	"90-94"	50	Not Applicable	Not Applicable
	"Female"	"F"	"2013"	"2013"	"95-99 years"	"95-99"	13	Not Applicable	Not Applicable
	"Female"	"F"	"2014"	"2014"	"< 1 year"	"1"	13	1930493	Unreliable
	"Female"	"F"	"2014"	"2014"	"1-4 years"	"1-4"	21	7790662	0.3
	"Female"	"F"	"2014"	"2014"	"10-14 years"	"10-14"	20	10120287	0.2
	"Female"	"F"	"2014"	"2014"	"15-19 years"	"15-19"	232	10283624	2.3
	"Female"	"F"	"2014"	"2014"	"20-24 years"	"20-24"	889	11172747	8.0
	"Female"	"F"	"2014"	"2014"	"25-29 years"	"25-29"	1439	10826549	13.3
	"Female"	"F"	"2014"	"2014"	"30-34 years"	"30-34"	1744	10719741	16.3
	"Female"	"F"	"2014"	"2014"	"35-39 years"	"35-39"	1886	9981814	18.9
	"Female"	"F"	"2014"	"2014"	"40-44 years"	"40-44"	2218	10372090	21.4
	"Female"	"F"	"2014"	"2014"	"45-49 years"	"45-49"	2570	10540579	24.4
	"Female"	"F"	"2014"	"2014"	"50-54 years"	"50-54"	2913	11493228	25.3
	"Female"	"F"	"2014"	"2014"	"55-59 years"	"55-59"	2444	11067461	22.1
	"Female"	"F"	"2014"	"2014"	"60-64 years "	"60-64"	1321	9688238	13.6
	"Female"	"F"	"2014"	"2014"	"65-69 years"	"65-69"	653	8076160	8.1
	"Female"	"F"	"2014"	"2014"	"70-74 years"	"70-74"	319	5973085	5.3
	"Female"	"F"	"2014"	"2014"	"75-79 years"	"75-79"	191	4410758	4.3
